	chebi id	chebi class	self defined super class
M_12ppd__R_e	CHEBI:26191	polyol	other
M_25dkglcn_e	CHEBI:33720	carbohydrate acid	carbohydrate derivatives
M_26dap__M_e	CHEBI:33709	amino acid	amino acids and derivatives
M_2hxmp_e	CHEBI:33853	phenols	aromatic compounds
M_3cmp_e	CHEBI:25608	nucleoside phosphate	nucleosides and derivatives
M_3ump_e	CHEBI:25608	nucleoside phosphate	nucleosides and derivatives
M_4abut_e	CHEBI:37022	amino-acid anion	amino acids and derivatives
M_4ahmmp_e	CHEBI:39447	pyrimidines	nucleosides and derivatives
M_4hpro_LT_e	CHEBI:83821	amino acid derivative	amino acids and derivatives
M_5drib_e	CHEBI:23639	deoxy sugar	carbohydrate derivatives
M_Larab_e	CHEBI:22590	arabinan	oligosaccharides
M_ala_L_asp__L_e	CHEBI:25676	oligopeptide	oligopeptides
M_ala__D_e	CHEBI:33709	amino acid	amino acids and derivatives
M_ala__L_e	CHEBI:33709	amino acid	amino acids and derivatives
M_arab__L_e	CHEBI:35381	monosaccharide	simple sugars
M_arg__L_e	CHEBI:33709	amino acid	amino acids and derivatives
M_asn__L_e	CHEBI:33709	amino acid	amino acids and derivatives
M_asp__L_e	CHEBI:37022	amino-acid anion	amino acids and derivatives
M_btn_e	CHEBI:47857	ureas	urea and urea derivatives
M_ca2_e	CHEBI:24835	inorganic ion	minerals and atoms
M_cd2_e	CHEBI:24835	inorganic ion	minerals and atoms
M_cellb_e	CHEBI:3523	cellodextrin	oligosaccharides
M_cgly_e	CHEBI:25676	oligopeptide	oligopeptides
M_chol_e	CHEBI:23217	cholines	other
M_cl_e	CHEBI:24835	inorganic ion	minerals and atoms
M_co2_e	CHEBI:138675	gas molecular entity	gasses
M_cobalt2_e	CHEBI:24835	inorganic ion	minerals and atoms
M_cu2_e	CHEBI:24835	inorganic ion	minerals and atoms
M_cys__L_e	CHEBI:33709	amino acid	amino acids and derivatives
M_dextrin_e	CHEBI:37163	glucan (undefined)	oligosaccharides
M_drib_e	CHEBI:23639	deoxy sugar	carbohydrate derivatives
M_enter_e	CHEBI:33853	phenols	aromatic compounds
M_fe2_e	CHEBI:24835	inorganic ion	minerals and atoms
M_fe3_e	CHEBI:24835	inorganic ion	minerals and atoms
M_feenter_e	CHEBI:33892	iron coordination entity	cofactors and vitamins
M_fol_e	CHEBI:83821	amino acid derivative	amino acids and derivatives
M_fru_e	CHEBI:35381	monosaccharide	simple sugars
M_fuc__L_e	CHEBI:23639	deoxy sugar	carbohydrate derivatives
M_g3pc_e	CHEBI:23217	cholines	other
M_g3ps_e	CHEBI:83821	amino acid derivative	amino acids and derivatives
M_gal_bD_e	CHEBI:35381	monosaccharide	simple sugars
M_gal_e	CHEBI:35381	monosaccharide	simple sugars
M_galt_e	CHEBI:26191	polyol	other
M_galur_e	CHEBI:33720	carbohydrate acid	carbohydrate derivatives
M_gcald_e	CHEBI:26191	polyol	other
M_glc__D_e	CHEBI:35381	monosaccharide	simple sugars
M_glc__aD_e	CHEBI:35381	monosaccharide	simple sugars
M_glcn__D_e	CHEBI:33720	carbohydrate acid	carbohydrate derivatives
M_glcn_e	CHEBI:33720	carbohydrate acid	carbohydrate derivatives
M_gln__L_e	CHEBI:33709	amino acid	amino acids and derivatives
M_glu__L_e	CHEBI:37022	amino-acid anion	amino acids and derivatives
