donor	receiver	compound	mass_rate	rate	frequency	community	medium
environment	CH14-bin.1	M_xylan4_e	0.04741464043965204	0.06570871567575588	1.0	CD_X	SC1_X
CH14-bin.1	environment	M_xyl__D_e	0.026633095527189603	0.17740081414505218	0.158	CD_X	SC1_X
environment	CH14-bin.1	M_xylan8_e	0.020862767033818955	0.01463888022354448	0.149	CD_X	SC1_X
CH14-bin.1	environment	M_ac_e	0.015337823677768817	0.2597698268198547	0.997	CD_X	SC1_X
CH14-bin.1	environment	M_co2_e	0.015022926362838751	0.3413564426507629	1.0	CD_X	SC1_X
environment	CH14-bin.2	M_xylan4_e	0.011034516702841292	0.015291983951016516	0.942	CD_X	SC1_X
CH14-bin.2	CH14-bin.1	M_xyl__D_e	0.006024472755934322	0.04012850742814919	0.064	CD_X	SC1_X
CH14-bin.2	environment	M_xyl__D_e	0.005856809026979823	0.039011713400629616	0.074	CD_X	SC1_X
CH14-bin.1	CH14-bin.0	M_glyald_e	0.0055887191257262495	0.06204331511268882	0.437	CD_X	SC1_X
CH14-bin.1	environment	M_etoh_e	0.005422670208452733	0.11770961766365373	0.859	CD_X	SC1_X
CH14-bin.2	environment	M_ac_e	0.005413002350648457	0.09167758821230404	0.995	CD_X	SC1_X
CH14-bin.1	CH14-bin.0	M_xyl__D_e	0.004987426112271469	0.03322082676803338	0.777	CD_X	SC1_X
CH14-bin.1	CH14-bin.2	M_xyl__D_e	0.004467113357507488	0.0297550671753885	0.307	CD_X	SC1_X
CH14-bin.1	environment	M_acald_e	0.004033992593036097	0.09157259520562097	0.01	CD_X	SC1_X
CH14-bin.2	CH14-bin.0	M_xyl__D_e	0.004006528573357955	0.02668715058238357	0.328	CD_X	SC1_X
CH14-bin.0	environment	M_ac_e	0.0037553330538056917	0.06360238828745547	0.999	CD_X	SC1_X
CH14-bin.0	environment	M_co2_e	0.0034173240145299365	0.07764968960178907	1.0	CD_X	SC1_X
CH14-bin.2	CH14-bin.1	M_acald_e	0.0033683996894210973	0.07646347734564057	0.155	CD_X	SC1_X
CH14-bin.2	environment	M_acald_e	0.0031864429140340622	0.07233301509189197	0.031	CD_X	SC1_X
CH14-bin.1	CH14-bin.2	M_acald_e	0.002553525663098962	0.05796564235090396	0.152	CD_X	SC1_X
CH14-bin.1	CH14-bin.0	M_glyc_e	0.002260866747019434	0.024549688599297827	0.719	CD_X	SC1_X
CH14-bin.2	environment	M_co_e	0.0022440656949113654	0.08011630429421406	0.841	CD_X	SC1_X
CH14-bin.1	environment	M_ibt_e	0.0022188772308406432	0.02547596103696737	0.004	CD_X	SC1_X
CH14-bin.1	environment	M_for_e	0.0019469811979990024	0.043249525694487076	0.074	CD_X	SC1_X
CH14-bin.2	environment	M_12ppd__R_e	0.0018039027765623984	0.023706210817427346	0.324	CD_X	SC1_X
CH14-bin.0	environment	M_hxa_e	0.0013719146444259546	0.011914162708139171	0.05	CD_X	SC1_X
CH14-bin.1	CH14-bin.0	M_orn_e	0.0013155499548340246	0.009878844792263215	0.001	CD_X	SC1_X
CH14-bin.0	environment	M_h2s_e	0.0012453821756442526	0.03654204642039661	1.0	CD_X	SC1_X
CH14-bin.1	CH14-bin.4	M_mal__L_e	0.001195654776493324	0.009053093830256395	0.699	CD_X	SC1_X
CH14-bin.1	environment	M_h2s_e	0.0011282552177504	0.03310530321325792	0.802	CD_X	SC1_X
CH14-bin.0	CH14-bin.4	M_lac__L_e	0.0011086096593668111	0.012446526874056205	0.66	CD_X	SC1_X
CH14-bin.4	environment	M_ac_e	0.0009612341932673991	0.016279991553190067	1.0	CD_X	SC1_X
CH14-bin.1	CH14-bin.2	M_asp__D_e	0.0009548639748456533	0.007228642940059227	0.926	CD_X	SC1_X
CH14-bin.2	environment	M_but_e	0.0009351837322487529	0.01073727919419351	0.032	CD_X	SC1_X
environment	CH14-bin.0	M_cys__L_e	0.0009031343588915375	0.007454192907697621	1.0	CD_X	SC1_X
CH14-bin.0	environment	M_but_e	0.0008992937686867376	0.010325209837396484	0.427	CD_X	SC1_X
CH14-bin.0	CH14-bin.1	M_ptrc_e	0.0008907438226150387	0.009878844792263215	0.001	CD_X	SC1_X
CH14-bin.1	CH14-bin.0	M_rib__D_e	0.0008821233732699338	0.0058757497578419545	0.019	CD_X	SC1_X
CH14-bin.4	environment	M_for_e	0.0007682423447145463	0.017065453462762094	0.751	CD_X	SC1_X
CH14-bin.1	environment	M_but_e	0.0007323818640079633	0.008408816662911805	0.078	CD_X	SC1_X
CH14-bin.2	environment	M_ppa_e	0.0007001150376865818	0.009581376832295726	0.136	CD_X	SC1_X
CH14-bin.1	environment	M_thm_e	0.0006852846939030521	0.0025825310798260432	0.787	CD_X	SC1_X
CH14-bin.0	environment	M_pta_e	0.0006807653939894001	0.006732026355812799	0.006	CD_X	SC1_X
CH14-bin.2	environment	M_co2_e	0.0006343295744930747	0.014413469239438636	0.541	CD_X	SC1_X
CH14-bin.1	environment	M_h2_e	0.0006126851274657759	0.30394142646382377	0.779	CD_X	SC1_X
CH14-bin.0	CH14-bin.1	M_g3pg_e	0.0006055164972084113	0.0024700461411155867	0.777	CD_X	SC1_X
CH14-bin.2	environment	M_ibtol_e	0.000602041368055703	0.006989760681648761	0.112	CD_X	SC1_X
CH14-bin.4	environment	M_co2_e	0.0005705467239379804	0.012964171916017689	1.0	CD_X	SC1_X
CH14-bin.0	CH14-bin.2	M_g3pg_e	0.0005649514869429679	0.002304571793955091	0.213	CD_X	SC1_X
CH14-bin.1	environment	M_ppa_e	0.0004987208670789821	0.006825210578825106	0.004	CD_X	SC1_X
CH14-bin.1	CH14-bin.2	M_co2_e	0.0004549313604166456	0.010337117222796113	0.302	CD_X	SC1_X
