medium	description	compound	name
CD_A	Media + produced compounds in Compost and Digestate on Avicel	cell3	Cellulose (n=3 repeating units)
CD_A	Media + produced compounds in Compost and Digestate on Avicel	cell4	Cellulose (n=4 repeating units)
CD_A	Media + produced compounds in Compost and Digestate on Avicel	pnto__R	(R)-Pantothenate
CD_A	Media + produced compounds in Compost and Digestate on Avicel	nac	Nicotinate
CD_A	Media + produced compounds in Compost and Digestate on Avicel	cellb	Cellobiose
CD_A	Media + produced compounds in Compost and Digestate on Avicel	ni2	Nickel
CD_A	Media + produced compounds in Compost and Digestate on Avicel	cu2	Copper
CD_A	Media + produced compounds in Compost and Digestate on Avicel	ascb__L	L-Ascorbate
CD_A	Media + produced compounds in Compost and Digestate on Avicel	ac	Acetate
CD_A	Media + produced compounds in Compost and Digestate on Avicel	mn2	Manganese
CD_A	Media + produced compounds in Compost and Digestate on Avicel	mobd	Molybdate
CD_A	Media + produced compounds in Compost and Digestate on Avicel	4hba	4-Hydroxy-benzyl alcohol
CD_A	Media + produced compounds in Compost and Digestate on Avicel	acald	Acetaldehyde
CD_A	Media + produced compounds in Compost and Digestate on Avicel	thym	Thymine C5H6N2O2
CD_A	Media + produced compounds in Compost and Digestate on Avicel	h2s	Hydrogen sulfide
CD_A	Media + produced compounds in Compost and Digestate on Avicel	pheme	Protoheme C34H30FeN4O4
CD_A	Media + produced compounds in Compost and Digestate on Avicel	ribflv	Riboflavin C17H20N4O6
CD_A	Media + produced compounds in Compost and Digestate on Avicel	h	H+
CD_A	Media + produced compounds in Compost and Digestate on Avicel	gua	Guanine
CD_A	Media + produced compounds in Compost and Digestate on Avicel	cl	Chloride
CD_A	Media + produced compounds in Compost and Digestate on Avicel	inost	Myo-Inositol
CD_A	Media + produced compounds in Compost and Digestate on Avicel	fol	Folate
CD_A	Media + produced compounds in Compost and Digestate on Avicel	glyc3p	Glycerol 3-phosphate
CD_A	Media + produced compounds in Compost and Digestate on Avicel	acglu	N-Acetyl-L-glutamate
CD_A	Media + produced compounds in Compost and Digestate on Avicel	cell5	Cellulose (n=5 repeating units)
CD_A	Media + produced compounds in Compost and Digestate on Avicel	ocdcea	Octadecenoate (n-C18:1)
CD_A	Media + produced compounds in Compost and Digestate on Avicel	btn	Biotin
CD_A	Media + produced compounds in Compost and Digestate on Avicel	gcald	Glycolaldehyde
CD_A	Media + produced compounds in Compost and Digestate on Avicel	ca2	Calcium
CD_A	Media + produced compounds in Compost and Digestate on Avicel	na1	Sodium
CD_A	Media + produced compounds in Compost and Digestate on Avicel	lac__L	L-Lactate
CD_A	Media + produced compounds in Compost and Digestate on Avicel	g3pg	Glycerophosphoglycerol
CD_A	Media + produced compounds in Compost and Digestate on Avicel	so4	Sulfate
CD_A	Media + produced compounds in Compost and Digestate on Avicel	h2o	H2O H2O
CD_A	Media + produced compounds in Compost and Digestate on Avicel	glyc	Glycerol
