	chebi id	chebi class	self defined super class
M_12ppd__R_e	CHEBI:26191	polyol	other
M_12ppd__S_e	CHEBI:26191	polyol	other
M_13ppd_e	CHEBI:26191	polyol	other
M_14glucan_e	CHEBI:37163	glucan (undefined)	oligosaccharides
M_23camp_e	CHEBI:25608	nucleoside phosphate	nucleotides and derivatives
M_23ccmp_e	CHEBI:25608	nucleoside phosphate	nucleotides and derivatives
M_23cgmp_e	CHEBI:25608	nucleoside phosphate	nucleotides and derivatives
M_23cump_e	CHEBI:25608	nucleoside phosphate	nucleotides and derivatives
M_23dappa_e	CHEBI:33709	amino acid	amino acids and derivatives
M_25dkglcn_e	CHEBI:33720	carbohydrate acid	carbohydrate derivatives
M_26dap__M_e	CHEBI:33709	amino acid	amino acids and derivatives
M_2ddglcn_e	CHEBI:33720	carbohydrate acid	carbohydrate derivatives
M_2dhglcn_e	CHEBI:33720	carbohydrate acid	carbohydrate derivatives
M_2hxmp_e	CHEBI:33853	phenols	aromatic compounds
M_34dhbz_e	CHEBI:33853	phenols	aromatic compounds
M_34dhcinm_e	CHEBI:33853	phenols	aromatic compounds
M_34dhpac_e	CHEBI:33853	phenols	aromatic compounds
M_3amp_e	CHEBI:25608	nucleoside phosphate	nucleotides and derivatives
M_3cmp_e	CHEBI:25608	nucleoside phosphate	nucleotides and derivatives
M_3gmp_e	CHEBI:25608	nucleoside phosphate	nucleotides and derivatives
M_3hoxpac_e	CHEBI:33853	phenols	aromatic compounds
M_3mb_e	CHEBI:58956	branched-chain saturated fatty acid anion	fatty acids
M_3ump_e	CHEBI:25608	nucleoside phosphate	nucleotides and derivatives
M_4abut_e	CHEBI:37022	amino-acid anion	amino acids and derivatives
M_4abz_e	CHEBI:33709	amino acid	amino acids and derivatives
M_4ahmmp_e	CHEBI:39447	pyrimidines	nucleotides and derivatives
M_4crsol_e	CHEBI:27024	toluenes	aromatic compounds
M_4hba_e	CHEBI:33853	phenols	aromatic compounds
M_4hbald_e	CHEBI:33853	phenols	aromatic compounds
M_4hbz_e	CHEBI:33853	phenols	aromatic compounds
M_4hoxpac_e	CHEBI:33853	phenols	aromatic compounds
M_4hpro_DC_e	CHEBI:83821	amino acid derivative	amino acids and derivatives
M_4hpro_LT_e	CHEBI:83821	amino acid derivative	amino acids and derivatives
M_4hthr_e	CHEBI:33709	amino acid	amino acids and derivatives
M_5aptn_e	CHEBI:33709	amino acid	amino acids and derivatives
M_5dglcn_e	CHEBI:33720	carbohydrate acid	carbohydrate derivatives
M_5drib_e	CHEBI:23639	deoxy sugar	carbohydrate derivatives
M_5mcsn_e	CHEBI:39447	pyrimidines	nucleotides and derivatives
M_5oxpro_e	CHEBI:83821	amino acid derivative	amino acids and derivatives
M_LalaDglu_e	CHEBI:25676	oligopeptide	oligopeptides
M_LalaLglu_e	CHEBI:25676	oligopeptide	oligopeptides
M_Larab_e	CHEBI:22590	arabinan	oligosaccharides
M_Lcyst_e	CHEBI:83821	amino acid derivative	amino acids and derivatives
M_abt__D_e	CHEBI:26191	polyol	other
M_abt__L_e	CHEBI:26191	polyol	other
M_abt_e	CHEBI:26191	polyol	other
M_acglu_e	CHEBI:83821	amino acid derivative	amino acids and derivatives
M_acser_e	CHEBI:83821	amino acid derivative	amino acids and derivatives
M_ade_e	CHEBI:26401	purines	nucleotides and derivatives
M_adn_e	CHEBI:33838	nucleoside	nucleotides and derivatives
M_ag_e	CHEBI:24835	inorganic ion	inorganic ions and atoms
M_ala_B_e	CHEBI:33709	amino acid	amino acids and derivatives
M_ala_L_asp__L_e	CHEBI:25676	oligopeptide	oligopeptides
M_ala__D_e	CHEBI:33709	amino acid	amino acids and derivatives
M_ala__L_e	CHEBI:33709	amino acid	amino acids and derivatives
M_alaala_e	CHEBI:25676	oligopeptide	oligopeptides
M_all__D_e	CHEBI:35381	monosaccharide	simple sugars
M_alltn_e	CHEBI:47857	ureas	urea and urea derivatives
M_amp_e	CHEBI:25608	nucleoside phosphate	nucleotides and derivatives
M_arab__D_e	CHEBI:35381	monosaccharide	simple sugars
M_arab__L_e	CHEBI:35381	monosaccharide	simple sugars
M_arg__D_e	CHEBI:33709	amino acid	amino acids and derivatives
M_arg__L_e	CHEBI:33709	amino acid	amino acids and derivatives
M_argp_e	CHEBI:83821	amino acid derivative	amino acids and derivatives
M_ascb__L_e	CHEBI:176783	vitamin C	other vitamins
M_asn__L_e	CHEBI:33709	amino acid	amino acids and derivatives
M_aso3_e	CHEBI:24835	inorganic ion	inorganic ions and atoms
M_asp__D_e	CHEBI:37022	amino-acid anion	amino acids and derivatives
M_asp__L_e	CHEBI:37022	amino-acid anion	amino acids and derivatives
M_btn_e	CHEBI:47857	ureas	urea and urea derivatives
M_bzalc_e	CHEBI:27024	toluenes	aromatic compounds
M_ca2_e	CHEBI:24835	inorganic ion	inorganic ions and atoms
M_catechol_e	CHEBI:33853	phenols	aromatic compounds
M_cd2_e	CHEBI:24835	inorganic ion	inorganic ions and atoms
M_cellb_e	CHEBI:3523	cellodextrin	oligosaccharides
M_cgly_e	CHEBI:25676	oligopeptide	oligopeptides
M_chol_e	CHEBI:23217	cholines	other
M_citr__L_e	CHEBI:33709	amino acid	amino acids and derivatives
M_cl_e	CHEBI:24835	inorganic ion	inorganic ions and atoms
M_cm_e	CHEBI:26191	polyol	other
M_cmp_e	CHEBI:25608	nucleoside phosphate	nucleotides and derivatives
M_coa_e	CHEBI:25608	nucleoside phosphate	nucleotides and derivatives
M_cobalt2_e	CHEBI:24835	inorganic ion	inorganic ions and atoms
M_confrl_e	CHEBI:33853	phenols	aromatic compounds
M_crn_e	CHEBI:83821	amino acid derivative	amino acids and derivatives
M_cro4_e	CHEBI:24835	inorganic ion	inorganic ions and atoms
M_csn_e	CHEBI:39447	pyrimidines	nucleotides and derivatives
M_ctbt_e	CHEBI:83821	amino acid derivative	amino acids and derivatives
M_cu2_e	CHEBI:24835	inorganic ion	inorganic ions and atoms
M_cu_e	CHEBI:24835	inorganic ion	inorganic ions and atoms
M_cys__D_e	CHEBI:33709	amino acid	amino acids and derivatives
M_cys__L_e	CHEBI:33709	amino acid	amino acids and derivatives
M_cyst__L_e	CHEBI:33709	amino acid	amino acids and derivatives
M_cytd_e	CHEBI:33838	nucleoside	nucleotides and derivatives
M_dad_2_e	CHEBI:33838	nucleoside	nucleotides and derivatives
M_damp_e	CHEBI:25608	nucleoside phosphate	nucleotides and derivatives
M_dcmp_e	CHEBI:25608	nucleoside phosphate	nucleotides and derivatives
M_dcyt_e	CHEBI:33838	nucleoside	nucleotides and derivatives
M_dextrin_e	CHEBI:37163	glucan (undefined)	oligosaccharides
M_dgmp_e	CHEBI:25608	nucleoside phosphate	nucleotides and derivatives
M_dgsn_e	CHEBI:33838	nucleoside	nucleotides and derivatives
M_dha_e	CHEBI:35381	monosaccharide	simple sugars
M_dimp_e	CHEBI:25608	nucleoside phosphate	nucleotides and derivatives
M_din_e	CHEBI:33838	nucleoside	nucleotides and derivatives
M_dmgly_e	CHEBI:83821	amino acid derivative	amino acids and derivatives
M_dopa_e	CHEBI:33853	phenols	aromatic compounds
M_doxrbcn_e	CHEBI:26188	polyketide	other
M_drib_e	CHEBI:23639	deoxy sugar	carbohydrate derivatives
M_dtbt_e	CHEBI:47857	ureas	urea and urea derivatives
M_dtmp_e	CHEBI:25608	nucleoside phosphate	nucleotides and derivatives
M_dump_e	CHEBI:25608	nucleoside phosphate	nucleotides and derivatives
M_duri_e	CHEBI:33838	nucleoside	nucleotides and derivatives
M_dxyl_e	CHEBI:23639	deoxy sugar	carbohydrate derivatives
M_enter_e	CHEBI:33853	phenols	aromatic compounds
M_fad_e	CHEBI:25608	nucleoside phosphate	nucleotides and derivatives
M_fe2_e	CHEBI:24835	inorganic ion	inorganic ions and atoms
M_fe3_e	CHEBI:24835	inorganic ion	inorganic ions and atoms
M_fer_e	CHEBI:33853	phenols	aromatic compounds
M_fmn_e	CHEBI:25608	nucleoside phosphate	nucleotides and derivatives
M_fol_e	CHEBI:83821	amino acid derivative	amino acids and derivatives
M_forglu_e	CHEBI:37022	amino-acid anion	amino acids and derivatives
M_fru_e	CHEBI:35381	monosaccharide	simple sugars
M_frulys_e	CHEBI:33709	amino acid	amino acids and derivatives
M_fruur_e	CHEBI:33720	carbohydrate acid	carbohydrate derivatives
M_fuc__L_e	CHEBI:23639	deoxy sugar	carbohydrate derivatives
M_g3pc_e	CHEBI:23217	cholines	other
M_g3ps_e	CHEBI:83821	amino acid derivative	amino acids and derivatives
M_ga_e	CHEBI:33853	phenols	aromatic compounds
M_gal_bD_e	CHEBI:35381	monosaccharide	simple sugars
M_gal_e	CHEBI:35381	monosaccharide	simple sugars
M_galct__D_e	CHEBI:33720	carbohydrate acid	carbohydrate derivatives
M_galctn__D_e	CHEBI:33720	carbohydrate acid	carbohydrate derivatives
M_galctn__L_e	CHEBI:33720	carbohydrate acid	carbohydrate derivatives
M_galctr__D_e	CHEBI:33720	carbohydrate acid	carbohydrate derivatives
M_galt_e	CHEBI:26191	polyol	other
M_galur_e	CHEBI:33720	carbohydrate acid	carbohydrate derivatives
M_gbbtn_e	CHEBI:83821	amino acid derivative	amino acids and derivatives
M_gcald_e	CHEBI:26191	polyol	other
M_gdp_e	CHEBI:25608	nucleoside phosphate	nucleotides and derivatives
M_glc__D_e	CHEBI:35381	monosaccharide	simple sugars
M_glc__aD_e	CHEBI:35381	monosaccharide	simple sugars
M_glcn__D_e	CHEBI:33720	carbohydrate acid	carbohydrate derivatives
M_glcn_e	CHEBI:33720	carbohydrate acid	carbohydrate derivatives
M_glcr_e	CHEBI:33720	carbohydrate acid	carbohydrate derivatives
M_glcur1p_e	CHEBI:33720	carbohydrate acid	carbohydrate derivatives
M_glcur_e	CHEBI:33720	carbohydrate acid	carbohydrate derivatives
M_gln__L_e	CHEBI:33709	amino acid	amino acids and derivatives
M_glu__D_e	CHEBI:37022	amino-acid anion	amino acids and derivatives
M_glu__L_e	CHEBI:37022	amino-acid anion	amino acids and derivatives
M_gly_asp__L_e	CHEBI:25676	oligopeptide	oligopeptides
M_gly_e	CHEBI:33709	amino acid	amino acids and derivatives
M_glyald_e	CHEBI:35381	monosaccharide	simple sugars
M_glyb_e	CHEBI:83821	amino acid derivative	amino acids and derivatives
M_glyc__R_e	CHEBI:33720	carbohydrate acid	carbohydrate derivatives
M_glyc_e	CHEBI:26191	polyol	other
M_glygly_e	CHEBI:25676	oligopeptide	oligopeptides
M_glyphe_e	CHEBI:25676	oligopeptide	oligopeptides
M_gmp_e	CHEBI:25608	nucleoside phosphate	nucleotides and derivatives
M_gsn_e	CHEBI:33838	nucleoside	nucleotides and derivatives
M_gthrd_e	CHEBI:25676	oligopeptide	oligopeptides
M_gtp_e	CHEBI:25608	nucleoside phosphate	nucleotides and derivatives
M_gua_e	CHEBI:26401	purines	nucleotides and derivatives
M_guln__L_e	CHEBI:33720	carbohydrate acid	carbohydrate derivatives
M_h2_e	CHEBI:138675	gas molecular entity	gases
M_h2o2_e	CHEBI:24835	inorganic ion	inorganic ions and atoms
M_h2o_e	CHEBI:24835	inorganic ion	inorganic ions and atoms
M_h2s_e	CHEBI:138675	gas molecular entity	gases
M_h_e	CHEBI:24835	inorganic ion	inorganic ions and atoms
M_ham_e	CHEBI:24835	inorganic ion	inorganic ions and atoms
M_hcys__L_e	CHEBI:33709	amino acid	amino acids and derivatives
M_hg2_e	CHEBI:24835	inorganic ion	inorganic ions and atoms
M_hgentis_e	CHEBI:33853	phenols	aromatic compounds
M_his__L_e	CHEBI:33709	amino acid	amino acids and derivatives
M_hom__L_e	CHEBI:33709	amino acid	amino acids and derivatives
M_hqn_e	CHEBI:33853	phenols	aromatic compounds
M_hxa_e	CHEBI:58954	straight-chain saturated fatty acid anion	fatty acids
M_hxan_e	CHEBI:26401	purines	nucleotides and derivatives
M_ibt_e	CHEBI:58956	branched-chain saturated fatty acid anion	fatty acids
M_id3acald_e	CHEBI:24828	indoles	other
M_idon__L_e	CHEBI:33720	carbohydrate acid	carbohydrate derivatives
