medium	description	compound	name
0	LB_extend	Lysogeny broth (anaerobic)	adn	Adenosine
1	LB_extend	Lysogeny broth (anaerobic)	ala__L	L-Alanine
2	LB_extend	Lysogeny broth (anaerobic)	amp	AMP
3	LB_extend	Lysogeny broth (anaerobic)	arg__L	L-Arginine
4	LB_extend	Lysogeny broth (anaerobic)	aso3	Arsenite 
5	LB_extend	Lysogeny broth (anaerobic)	asp__L	L-Aspartate
6	LB_extend	Lysogeny broth (anaerobic)	ca2	Ca2+
7	LB_extend	Lysogeny broth (anaerobic)	cbl1	Vitamin B12
8	LB_extend	Lysogeny broth (anaerobic)	cd2	Cadmium 
9	LB_extend	Lysogeny broth (anaerobic)	cl	Cl-
10	LB_extend	Lysogeny broth (anaerobic)	cmp	CMP
11	LB_extend	Lysogeny broth (anaerobic)	cobalt2	Co2+
12	LB_extend	Lysogeny broth (anaerobic)	cro4	Chromate 
13	LB_extend	Lysogeny broth (anaerobic)	cu2	Cu2+
14	LB_extend	Lysogeny broth (anaerobic)	cys__L	L-Cysteine
15	LB_extend	Lysogeny broth (anaerobic)	dad_2	Deoxyadenosine 
16	LB_extend	Lysogeny broth (anaerobic)	dcyt	Deoxycytidine
17	LB_extend	Lysogeny broth (anaerobic)	fe2	Fe2+
18	LB_extend	Lysogeny broth (anaerobic)	fe3	Fe3+
19	LB_extend	Lysogeny broth (anaerobic)	fol	Folate
20	LB_extend	Lysogeny broth (anaerobic)	glc__D	D-Glucose
21	LB_extend	Lysogeny broth (anaerobic)	glu__L	L-Glutamate
22	LB_extend	Lysogeny broth (anaerobic)	gly	Glycine
23	LB_extend	Lysogeny broth (anaerobic)	gmp	GMP
24	LB_extend	Lysogeny broth (anaerobic)	gsn	Guanosine
25	LB_extend	Lysogeny broth (anaerobic)	h2o	H2O
26	LB_extend	Lysogeny broth (anaerobic)	h2s	Hydrogen sulfide
27	LB_extend	Lysogeny broth (anaerobic)	h	H+
28	LB_extend	Lysogeny broth (anaerobic)	hg2	Hg2+ 
29	LB_extend	Lysogeny broth (anaerobic)	his__L	L-Histidine
30	LB_extend	Lysogeny broth (anaerobic)	hxan	Hypoxanthine
31	LB_extend	Lysogeny broth (anaerobic)	ile__L	L-Isoleucine
32	LB_extend	Lysogeny broth (anaerobic)	ins	Inosine
33	LB_extend	Lysogeny broth (anaerobic)	k	K+
34	LB_extend	Lysogeny broth (anaerobic)	leu__L	L-Leucine
35	LB_extend	Lysogeny broth (anaerobic)	lipoate	Lipoate
36	LB_extend	Lysogeny broth (anaerobic)	lys__L	L-Lysine
37	LB_extend	Lysogeny broth (anaerobic)	met__L	L-Methionine
38	LB_extend	Lysogeny broth (anaerobic)	mg2	Mg
39	LB_extend	Lysogeny broth (anaerobic)	mn2	Mn2+
40	LB_extend	Lysogeny broth (anaerobic)	mobd	Molybdate
41	LB_extend	Lysogeny broth (anaerobic)	na1	Na+
42	LB_extend	Lysogeny broth (anaerobic)	nac	Isonicotinic acid
43	LB_extend	Lysogeny broth (anaerobic)	nh4	Ammonium
44	LB_extend	Lysogeny broth (anaerobic)	ni2	Ni2+
45	LB_extend	Lysogeny broth (anaerobic)	phe__L	L-Phenylalanine
46	LB_extend	Lysogeny broth (anaerobic)	pheme	Protoheme
47	LB_extend	Lysogeny broth (anaerobic)	pi	Phosphate
48	LB_extend	Lysogeny broth (anaerobic)	pnto__R	PAN
49	LB_extend	Lysogeny broth (anaerobic)	pro__L	L-Proline
50	LB_extend	Lysogeny broth (anaerobic)	pydx	Pyridoxal
51	LB_extend	Lysogeny broth (anaerobic)	ribflv	Riboflavin
52	LB_extend	Lysogeny broth (anaerobic)	ser__L	L-Serine
53	LB_extend	Lysogeny broth (anaerobic)	so4	Sulfate
54	LB_extend	Lysogeny broth (anaerobic)	thm	Thiamin
55	LB_extend	Lysogeny broth (anaerobic)	thr__L	L-Threonine
56	LB_extend	Lysogeny broth (anaerobic)	thymd	Thymidine
57	LB_extend	Lysogeny broth (anaerobic)	trp__L	L-Tryptophan
58	LB_extend	Lysogeny broth (anaerobic)	tyr__L	L-Tyrosine
59	LB_extend	Lysogeny broth (anaerobic)	ump	UMP
60	LB_extend	Lysogeny broth (anaerobic)	ura	Uracil
61	LB_extend	Lysogeny broth (anaerobic)	uri	Uridine
62	LB_extend	Lysogeny broth (anaerobic)	val__L	L-Valine
63	LB_extend	Lysogeny broth (anaerobic)	zn2	Zn2+
64	LB_extend	Additional elements for MCCA production	lcts	Lactose
