	medium	description	compound	name	bound
0	SC1_C	SynCon1 on Cellulose	zn2	Zinc	1000.0
1	SC1_C	SynCon1 on Cellulose	mn2	Manganese	1000.0
2	SC1_C	SynCon1 on Cellulose	fe3	Iron (Fe3+)	1000.0
3	SC1_C	SynCon1 on Cellulose	k	Potassium	1000.0
4	SC1_C	SynCon1 on Cellulose	so4	Sulfate	1000.0
5	SC1_C	SynCon1 on Cellulose	ribflv	Riboflavin C17H20N4O6	1000.0
6	SC1_C	SynCon1 on Cellulose	cl	Chloride	1000.0
7	SC1_C	SynCon1 on Cellulose	nh4	Ammonium	1000.0
8	SC1_C	SynCon1 on Cellulose	btn	Biotin	1000.0
9	SC1_C	SynCon1 on Cellulose	pydxn	Pyridoxine	1000.0
10	SC1_C	SynCon1 on Cellulose	ni2	Nickel	1000.0
11	SC1_C	SynCon1 on Cellulose	h2o	H2O H2O	1000.0
12	SC1_C	SynCon1 on Cellulose	pi	Phosphate	1000.0
13	SC1_C	SynCon1 on Cellulose	fe2	Fe2+ mitochondria	1000.0
14	SC1_C	SynCon1 on Cellulose	fol	Folate	1000.0
15	SC1_C	SynCon1 on Cellulose	pnto__R	(R)-Pantothenate	1000.0
16	SC1_C	SynCon1 on Cellulose	cu2	Copper	1000.0
17	SC1_C	SynCon1 on Cellulose	na1	Sodium	1000.0
18	SC1_C	SynCon1 on Cellulose	mobd	Molybdate	1000.0
19	SC1_C	SynCon1 on Cellulose	cys__L	L-Cysteine	0.001
20	SC1_C	SynCon1 on Cellulose	mg2	Magnesium	1000.0
21	SC1_C	SynCon1 on Cellulose	4abz	4-Aminobenzoate	1000.0
22	SC1_C	SynCon1 on Cellulose	h	H+	1000.0
23	SC1_C	SynCon1 on Cellulose	nac	Nicotinate	1000.0
24	SC1_C	SynCon1 on Cellulose	ca2	Calcium	1000.0
25	SC1_C	SynCon1 on Cellulose	cobalt2	Co2+	1000.0
26	SC1_C	SynCon1 on Cellulose	thm	Thiamin	1000.0
27	SC1_C	SynCon1 on Cellulose	ascb__L	L-Ascorbate	0.001
28	SC1_C	SynCon1 on Cellulose	cellb	Cellobiose	0.5
29	SC1_C	SynCon1 on Cellulose	cell3	Cellulose (n=3 repeating units)	0.3333333333333333
30	SC1_C	SynCon1 on Cellulose	cell4	Cellulose (n=4 repeating units)	0.25
31	SC1_C	SynCon1 on Cellulose	cell5	Cellulose (n=5 repeating units)	0.2
32	SC2_C	SynCon2 on Cellulose	zn2	Zinc	1000.0
33	SC2_C	SynCon2 on Cellulose	mn2	Manganese	1000.0
34	SC2_C	SynCon2 on Cellulose	fe3	Iron (Fe3+)	1000.0
35	SC2_C	SynCon2 on Cellulose	k	Potassium	1000.0
36	SC2_C	SynCon2 on Cellulose	slnt	Selenite	1000.0
37	SC2_C	SynCon2 on Cellulose	so4	Sulfate	1000.0
38	SC2_C	SynCon2 on Cellulose	ribflv	Riboflavin C17H20N4O6	1000.0
39	SC2_C	SynCon2 on Cellulose	cl	Chloride	1000.0
40	SC2_C	SynCon2 on Cellulose	nh4	Ammonium	1000.0
41	SC2_C	SynCon2 on Cellulose	btn	Biotin	1000.0
42	SC2_C	SynCon2 on Cellulose	pydxn	Pyridoxine	1000.0
43	SC2_C	SynCon2 on Cellulose	ni2	Nickel	1000.0
