medium	description	compound	name
SC1_C	SynCon1 on Cellulose	zn2	Zinc
SC1_C	SynCon1 on Cellulose	mn2	Manganese
SC1_C	SynCon1 on Cellulose	fe3	Iron (Fe3+)
SC1_C	SynCon1 on Cellulose	k	Potassium
SC1_C	SynCon1 on Cellulose	so4	Sulfate
SC1_C	SynCon1 on Cellulose	ribflv	Riboflavin C17H20N4O6
SC1_C	SynCon1 on Cellulose	cl	Chloride
SC1_C	SynCon1 on Cellulose	nh4	Ammonium
SC1_C	SynCon1 on Cellulose	btn	Biotin
SC1_C	SynCon1 on Cellulose	pydxn	Pyridoxine
SC1_C	SynCon1 on Cellulose	ni2	Nickel
SC1_C	SynCon1 on Cellulose	h2o	H2O H2O
SC1_C	SynCon1 on Cellulose	pi	Phosphate
SC1_C	SynCon1 on Cellulose	fe2	Fe2+ mitochondria
SC1_C	SynCon1 on Cellulose	fol	Folate
SC1_C	SynCon1 on Cellulose	pnto__R	(R)-Pantothenate
SC1_C	SynCon1 on Cellulose	cu2	Copper
SC1_C	SynCon1 on Cellulose	na1	Sodium
SC1_C	SynCon1 on Cellulose	mobd	Molybdate
SC1_C	SynCon1 on Cellulose	cys__L	L-Cysteine
SC1_C	SynCon1 on Cellulose	mg2	Magnesium
SC1_C	SynCon1 on Cellulose	4abz	4-Aminobenzoate
SC1_C	SynCon1 on Cellulose	h	H+
SC1_C	SynCon1 on Cellulose	nac	Nicotinate
SC1_C	SynCon1 on Cellulose	ca2	Calcium
SC1_C	SynCon1 on Cellulose	cobalt2	Co2+
SC1_C	SynCon1 on Cellulose	thm	Thiamin
SC1_C	SynCon1 on Cellulose	ascb__L	L-Ascorbate
SC1_C	SynCon1 on Cellulose	glc__D	D-Glucose
SC1_C	SynCon1 on Cellulose	cellb	Cellobiose
SC1_C	SynCon1 on Cellulose	cell3	Cellulose (n=3 repeating units)
SC1_C	SynCon1 on Cellulose	cell4	Cellulose (n=4 repeating units)
SC1_C	SynCon1 on Cellulose	cell5	Cellulose (n=5 repeating units)
SC2_C	SynCon2 on Cellulose	zn2	Zinc
SC2_C	SynCon2 on Cellulose	mn2	Manganese
SC2_C	SynCon2 on Cellulose	fe3	Iron (Fe3+)
SC2_C	SynCon2 on Cellulose	k	Potassium
SC2_C	SynCon2 on Cellulose	slnt	Selenite
SC2_C	SynCon2 on Cellulose	so4	Sulfate
SC2_C	SynCon2 on Cellulose	ribflv	Riboflavin C17H20N4O6
SC2_C	SynCon2 on Cellulose	cl	Chloride
SC2_C	SynCon2 on Cellulose	nh4	Ammonium
SC2_C	SynCon2 on Cellulose	btn	Biotin
SC2_C	SynCon2 on Cellulose	pydxn	Pyridoxine
SC2_C	SynCon2 on Cellulose	ni2	Nickel
SC2_C	SynCon2 on Cellulose	h2o	H2O H2O
SC2_C	SynCon2 on Cellulose	pi	Phosphate
SC2_C	SynCon2 on Cellulose	fe2	Fe2+ mitochondria
SC2_C	SynCon2 on Cellulose	fol	Folate
SC2_C	SynCon2 on Cellulose	pnto__R	(R)-Pantothenate
SC2_C	SynCon2 on Cellulose	cu2	Copper
SC2_C	SynCon2 on Cellulose	na1	Sodium
SC2_C	SynCon2 on Cellulose	mobd	Molybdate
SC2_C	SynCon2 on Cellulose	cys__L	L-Cysteine
SC2_C	SynCon2 on Cellulose	mg2	Magnesium
SC2_C	SynCon2 on Cellulose	4abz	4-Aminobenzoate
SC2_C	SynCon2 on Cellulose	h	H+
SC2_C	SynCon2 on Cellulose	nac	Nicotinate
SC2_C	SynCon2 on Cellulose	ca2	Calcium
SC2_C	SynCon2 on Cellulose	cobalt2	Co2+
SC2_C	SynCon2 on Cellulose	thm	Thiamin
SC2_C	SynCon2 on Cellulose	glc__D	D-Glucose
SC2_C	SynCon2 on Cellulose	cellb	Cellobiose
SC2_C	SynCon2 on Cellulose	cell3	Cellulose (n=3 repeating units)
SC2_C	SynCon2 on Cellulose	cell4	Cellulose (n=4 repeating units)
SC2_C	SynCon2 on Cellulose	cell5	Cellulose (n=5 repeating units)
SC1_X	SynCon1 on Xylan	zn2	Zinc
SC1_X	SynCon1 on Xylan	mn2	Manganese
SC1_X	SynCon1 on Xylan	fe3	Iron (Fe3+)
SC1_X	SynCon1 on Xylan	k	Potassium
SC1_X	SynCon1 on Xylan	so4	Sulfate
SC1_X	SynCon1 on Xylan	ribflv	Riboflavin C17H20N4O6
SC1_X	SynCon1 on Xylan	cl	Chloride
SC1_X	SynCon1 on Xylan	nh4	Ammonium
SC1_X	SynCon1 on Xylan	btn	Biotin
SC1_X	SynCon1 on Xylan	pydxn	Pyridoxine
SC1_X	SynCon1 on Xylan	ni2	Nickel
SC1_X	SynCon1 on Xylan	h2o	H2O H2O
SC1_X	SynCon1 on Xylan	pi	Phosphate
SC1_X	SynCon1 on Xylan	fe2	Fe2+ mitochondria
SC1_X	SynCon1 on Xylan	fol	Folate
SC1_X	SynCon1 on Xylan	pnto__R	(R)-Pantothenate
SC1_X	SynCon1 on Xylan	cu2	Copper
SC1_X	SynCon1 on Xylan	na1	Sodium
SC1_X	SynCon1 on Xylan	mobd	Molybdate
