donor	receiver	compound	mass_rate	rate	frequency	community	medium
CH3-bin.1	CH3-bin.2	M_xyl__D_e	0.026505704624543283	0.1765522740337061	1.0	M_X	SC1_X
CH14-bin.1	environment	M_ac_e	0.02032126117589224	0.3441720681711785	1.0	CD_X	SC1_X
environment	CH14-bin.1	M_xylb_e	0.016934628000000004	0.06	1.0	CD_X	SC1_X
CH3-bin.2	CH3-bin.1	M_xylan4_e	0.01645141937260599	0.022798899833334316	0.77	M_X	SC1_X
environment	CH3-bin.2	M_xylan8_e	0.016444169999999952	0.0115384615384615	0.77	M_X	SC1_X
environment	CH14-bin.1	M_xylan8_e	0.016444169999999952	0.0115384615384615	1.0	CD_X	SC1_X
environment	CH3-bin.1	M_xylan8_e	0.01644416999999994	0.0115384615384615	0.23	M_X	SC1_X
environment	CH3-bin.1	M_xylan4_e	0.016405277159074586	0.022734954487308875	1.0	M_X	SC1_X
CH14-bin.1	environment	M_co2_e	0.014124413356843408	0.3209401005883595	1.0	CD_X	SC1_X
CH3-bin.2	environment	M_ac_e	0.011921406953905516	0.20190751210379929	1.0	M_X	SC1_X
CH3-bin.2	environment	M_co2_e	0.011635938574685156	0.2643960639108637	1.0	M_X	SC1_X
CH3-bin.1	CH3-bin.2	M_lac__L_e	0.011059943871794056	0.12417164821066234	1.0	M_X	SC1_X
environment	CH14-bin.2	M_xylan4_e	0.00962617273988401	0.013340256126497632	1.0	CD_X	SC1_X
CH14-bin.2	CH14-bin.1	M_xyl__D_e	0.0089071596506907	0.05932984290689505	0.24	CD_X	SC1_X
environment	CH14-bin.1	M_xylan4_e	0.007983937445935936	0.011064394261847008	0.88	CD_X	SC1_X
CH14-bin.1	CH14-bin.2	M_xylan4_e	0.007886663421240794	0.010929588826815502	0.12	CD_X	SC1_X
CH3-bin.1	environment	M_ac_e	0.006079305585213964	0.10296246665978984	1.0	M_X	SC1_X
CH3-bin.2	CH3-bin.1	M_asp__D_e	0.005724520476255462	0.043336554332356475	1.0	M_X	SC1_X
CH14-bin.2	environment	M_ac_e	0.005479777815139233	0.09280853424552299	0.99	CD_X	SC1_X
CH14-bin.1	environment	M_h2s_e	0.005466918856655372	0.16041052019481264	1.0	CD_X	SC1_X
CH14-bin.1	CH14-bin.2	M_acald_e	0.00536400516837228	0.1217641982814167	0.17	CD_X	SC1_X
