donor	receiver	compound	mass_rate	rate	frequency	community	medium
CH8-bin.22	environment	M_ac_e	0.01911765098545581	0.323787063277592	1.0	CM_A	SC2_C
CH8-bin.5	CH8-bin.22	M_glc__D_e	0.01587110027524337	0.08809672246984197	0.06	CM_A	SC2_C
CH8-bin.6	CH8-bin.22	M_glc__D_e	0.0158591896911692	0.0880306096357323	0.1	CM_A	SC2_C
environment	CH1-bin.9	M_cell5_e	0.015725629882771076	0.018975892932672333	1.0	M_P	SC2_C
environment	CH7-bin.23	M_cell4_e	0.015701934351693748	0.02355610515784209	1.0	CM_P	SC2_C
CH8-bin.7	CH8-bin.22	M_glc__D_e	0.015439434613299706	0.08570064851400351	0.19	CM_A	SC2_C
CH8-bin.2	CH8-bin.22	M_glc__D_e	0.015380749987602858	0.08537490404174873	0.12	CM_A	SC2_C
environment	CH8-bin.7	M_cellb_e	0.015130457599280622	0.0442028983115197	0.21	CM_A	SC2_C
environment	CH8-bin.22	M_cellb_e	0.014898830632398821	0.04352621135766519	0.33	CM_A	SC2_C
CH8-bin.17	CH8-bin.22	M_glc__D_e	0.014652185205337547	0.08133081331637879	0.2	CM_A	SC2_C
environment	CH1-bin.6	M_cellb_e	0.013412205359745839	0.03918310769915196	1.0	M_P	SC2_C
environment	CH8-bin.5	M_cellb_e	0.012914414146985864	0.03772883480531407	0.08	CM_A	SC2_C
environment	CH8-bin.22	M_cell5_e	0.012772826074037614	0.01541278675864863	1.0	CM_A	SC2_C
CH1-bin.9	CH1-bin.6	M_glyc_e	0.011804443164043053	0.12817889605719243	0.14	M_P	SC2_C
environment	CH1-bin.6	M_cell4_e	0.01130958638881458	0.016966687052661026	0.96	M_P	SC2_C
environment	CH8-bin.6	M_cellb_e	0.010960181029004932	0.032019637497545786	0.16	CM_A	SC2_C
environment	CH8-bin.17	M_cellb_e	0.010579060107185729	0.030906211202205717	0.33	CM_A	SC2_C
environment	CH7-bin.11	M_cellb_e	0.00933040145555202	0.02725831548974635	0.56	CM_P	SC2_C
environment	CH8-bin.2	M_cellb_e	0.009192102110642092	0.02685428065871162	0.24	CM_A	SC2_C
CH7-bin.1	CH7-bin.23	M_glc__D_e	0.008956051205372514	0.04971292120787117	0.05	CM_P	SC2_C
CH7-bin.20	CH7-bin.23	M_glc__D_e	0.008597211766287968	0.047721088384183694	0.02	CM_P	SC2_C
CH1-bin.9	environment	M_ac_e	0.008541823101877557	0.14466901918534442	0.99	M_P	SC2_C
CH1-bin.6	CH1-bin.9	M_glyald_e	0.008531414835669757	0.09471173038021348	0.19	M_P	SC2_C
CH7-bin.8	CH7-bin.23	M_glc__D_e	0.008493897483642088	0.04714761524573832	0.05	CM_P	SC2_C
environment	CH7-bin.23	M_cellb_e	0.008493747899530855	0.024814072689017492	0.47	CM_P	SC2_C
environment	CH1-bin.6	M_cell3_e	0.00838982206073369	0.01663209086415693	0.42	M_P	SC2_C
CH7-bin.2	CH7-bin.23	M_glc__D_e	0.008367497698996673	0.04644599994780435	0.07	CM_P	SC2_C
CH7-bin.11	CH7-bin.23	M_glc__D_e	0.008289429400026173	0.046012661291452685	0.34	CM_P	SC2_C
environment	CH7-bin.2	M_cellb_e	0.007527838962201968	0.02199221655844237	0.16	CM_P	SC2_C
