donor	receiver	compound	mass_rate	rate	frequency	community	medium
environment	CH15-bin.0	M_cell4_e	0.023241881418952816	0.034867564117149155	0.1	CD_P	SC1_C
environment	CH15-bin.0	M_cellb_e	0.018695352278578672	0.05461756528152471	0.8	CD_P	SC1_C
CH15-bin.0	environment	M_ac_e	0.016800894804413855	0.28454920498838754	1.0	CD_P	SC1_C
environment	CH15-bin.1	M_cellb_e	0.015030563444302555	0.043911062380885275	1.0	CD_P	SC1_C
environment	CH15-bin.0	M_cell5_e	0.012631069349037854	0.015241730943642534	0.7	CD_P	SC1_C
environment	CH15-bin.0	M_cell3_e	0.012119893339222495	0.024026632009905912	0.2	CD_P	SC1_C
CH15-bin.23	CH15-bin.7	M_glc__D_e	0.010178729589804855	0.05649971962985764	0.1	CD_P	SC1_C
CH15-bin.1	environment	M_ac_e	0.008725457262641742	0.14777914844110468	1.0	CD_P	SC1_C
CH15-bin.0	CH15-bin.7	M_glc__D_e	0.0076816058896642505	0.0426387767986097	0.3	CD_P	SC1_C
environment	CH15-bin.7	M_cellb_e	0.007463612625057882	0.021804582428339367	0.6	CD_P	SC1_C
environment	CH15-bin.23	M_cellb_e	0.0071066458386322105	0.02076172126849486	0.2	CD_P	SC1_C
CH15-bin.1	CH15-bin.7	M_g3pg_e	0.005672887103554267	0.023141058854249084	0.5	CD_P	SC1_C
CH15-bin.1	CH15-bin.16	M_g3pg_e	0.005131831674679134	0.020933964777731004	0.5	CD_P	SC1_C
CH15-bin.0	environment	M_acald_e	0.0050946132926617494	0.11564893837025338	0.3	CD_P	SC1_C
CH15-bin.7	CH15-bin.22	M_btd_RR_e	0.004764818658133758	0.05287158161545483	0.1	CD_P	SC1_C
environment	CH15-bin.16	M_cell5_e	0.003834164510729735	0.004626631542534989	0.8	CD_P	SC1_C
environment	CH15-bin.7	M_cell3_e	0.0036410413237405294	0.007218047021524898	0.1	CD_P	SC1_C
environment	CH15-bin.23	M_cell4_e	0.0030319677107271885	0.0045485701716341245	0.7	CD_P	SC1_C
CH15-bin.7	CH15-bin.22	M_glyc3p_e	0.0029830265389450303	0.017541271539437405	0.5	CD_P	SC1_C
CH15-bin.16	CH15-bin.22	M_glyc3p_e	0.0029703409414143503	0.017466675652333973	0.5	CD_P	SC1_C
CH15-bin.7	CH15-bin.1	M_man1p_e	0.0028394799548757546	0.01100064100107026	0.4	CD_P	SC1_C
CH15-bin.1	environment	M_co_e	0.002767433708588875	0.09880127913105897	0.7	CD_P	SC1_C
CH15-bin.7	CH15-bin.1	M_btd_RR_e	0.0025649810594399742	0.028461650937077365	1.0	CD_P	SC1_C
environment	CH15-bin.23	M_cell3_e	0.002249535935945521	0.004459508892797699	0.3	CD_P	SC1_C
environment	CH15-bin.23	M_cell5_e	0.0022011512681084015	0.0026560977909064662	0.6	CD_P	SC1_C
CH15-bin.16	CH15-bin.8	M_lac__L_e	0.0021024219974992145	0.02360420700954998	0.7	CD_P	SC1_C
