donor	receiver	compound	mass_rate	rate	frequency	community	medium
environment	CH9-bin.0	M_xylb_e	0.06771346241252987	0.23991124840485384	1.0	CM_X	SC1_X
environment	CH9-bin.6	M_xylan4_e	0.06523696116032432	0.09040745416787427	1.0	CM_X	SC1_X
CH9-bin.0	environment	M_ac_e	0.06030953016780029	1.0214354093784506	1.0	CM_X	SC1_X
environment	CH3-bin.2	M_xylan4_e	0.05240927320204476	0.07263043649965606	0.999	M_X	SC1_X
CH9-bin.6	CH9-bin.0	M_xyl__D_e	0.04897177439444643	0.32619687932382657	1.0	CM_X	SC1_X
environment	CH14-bin.1	M_xylan4_e	0.04676685599423889	0.06481099540311129	1.0	CD_X	SC1_X
CH3-bin.1	CH3-bin.2	M_xyl__D_e	0.03192401053572025	0.2126431549810014	0.001	M_X	SC1_X
CH14-bin.1	environment	M_xyl__D_e	0.022974780895722052	0.1530330874060198	0.192	CD_X	SC1_X
CH3-bin.2	environment	M_ac_e	0.02276097256571576	0.385492363575505	0.998	M_X	SC1_X
CH9-bin.0	environment	M_12ppd__R_e	0.02266946304350287	0.29791354446012075	0.999	CM_X	SC1_X
environment	CH14-bin.1	M_xylan8_e	0.019903965949642752	0.013966113557133073	0.12	CD_X	SC1_X
CH14-bin.1	environment	M_ac_e	0.017460153480141436	0.2957147729086568	0.997	CD_X	SC1_X
CH3-bin.2	environment	M_co2_e	0.01734172996075027	0.3940451484509087	1.0	M_X	SC1_X
CH9-bin.0	CH9-bin.6	M_rib__D_e	0.014675022172617524	0.097749091102132	1.0	CM_X	SC1_X
CH9-bin.0	environment	M_co2_e	0.01404121736685003	0.31904969079062534	0.999	CM_X	SC1_X
CH14-bin.1	environment	M_co2_e	0.013395651400680265	0.30438090413843066	1.0	CD_X	SC1_X
CH3-bin.2	environment	M_xyl__D_e	0.011774298008314126	0.07842761088469703	0.149	M_X	SC1_X
CH3-bin.2	CH3-bin.1	M_xyl__D_e	0.011187010682758874	0.07451573929679961	0.799	M_X	SC1_X
CH9-bin.6	environment	M_ac_e	0.010855385184175236	0.18385278045954345	1.0	CM_X	SC1_X
environment	CH3-bin.1	M_xylan4_e	0.010171503477699696	0.014095992794921559	0.502	M_X	SC1_X
CH3-bin.1	environment	M_ac_e	0.010001937342271741	0.16939831790026985	0.999	M_X	SC1_X
CH3-bin.1	CH3-bin.2	M_xylan4_e	0.00910036014840785	0.01261156832560596	0.015	M_X	SC1_X
environment	CH3-bin.1	M_xylan8_e	0.009003697679041961	0.006317668777053575	0.019	M_X	SC1_X
environment	CH14-bin.2	M_xylan4_e	0.008950026781674985	0.012403231568021526	0.916	CD_X	SC1_X
environment	CH3-bin.2	M_xylan8_e	0.00869862313333411	0.006103605622025765	0.075	M_X	SC1_X
CH9-bin.6	environment	M_co2_e	0.006955245644958731	0.15803964246262125	1.0	CM_X	SC1_X
CH14-bin.2	CH14-bin.1	M_xyl__D_e	0.006759411517101162	0.04502387283712502	0.057	CD_X	SC1_X
CH14-bin.1	CH14-bin.0	M_glyald_e	0.0058127383471623904	0.06453027050160462	0.512	CD_X	SC1_X
CH3-bin.2	environment	M_etoh_e	0.00552265497304154	0.11987998170194494	0.16	M_X	SC1_X
CH14-bin.2	environment	M_ac_e	0.005352757221988157	0.0906572435423161	0.999	CD_X	SC1_X
CH14-bin.1	CH14-bin.0	M_xyl__D_e	0.004932886199490674	0.03285754098621972	0.768	CD_X	SC1_X
CH9-bin.1	environment	M_ac_e	0.004883385104026391	0.08270769891599966	1.0	CM_X	SC1_X
CH3-bin.2	environment	M_pta_e	0.004728023604991514	0.04675499048678658	0.064	M_X	SC1_X
CH9-bin.6	CH9-bin.0	M_acald_e	0.004515423900642243	0.10250120085721194	0.92	CM_X	SC1_X
CH9-bin.0	CH9-bin.2	M_diact_e	0.004508755500044966	0.05237318937430991	0.949	CM_X	SC1_X
CH14-bin.2	environment	M_xyl__D_e	0.004502061966802372	0.029987856928867223	0.102	CD_X	SC1_X
CH14-bin.1	CH14-bin.0	M_orn_e	0.00434316037442614	0.03261404638357253	0.002	CD_X	SC1_X
CH14-bin.1	CH14-bin.2	M_xyl__D_e	0.004282911625666815	0.028528114898582986	0.31	CD_X	SC1_X
CH14-bin.1	environment	M_etoh_e	0.004184039713056768	0.09082273049645458	0.289	CD_X	SC1_X
CH9-bin.4	CH9-bin.2	M_glyald_e	0.003921339184290758	0.04353285201876556	0.759	CM_X	SC1_X
CH14-bin.2	CH14-bin.0	M_xyl__D_e	0.0036808703068040294	0.024517968199481308	0.311	CD_X	SC1_X
CH14-bin.0	environment	M_ac_e	0.003672702917181168	0.06220291879738921	0.998	CD_X	SC1_X
CH14-bin.1	environment	M_acald_e	0.003670363053284232	0.08331811781615149	0.009	CD_X	SC1_X
CH9-bin.6	CH9-bin.1	M_xyl__D_e	0.0036138561863124645	0.024071592766994263	0.741	CM_X	SC1_X
CH3-bin.2	environment	M_ibt_e	0.0036086976444255473	0.04143313532887562	0.002	M_X	SC1_X
CH3-bin.2	environment	M_for_e	0.003474617021962258	0.07718386717052203	0.035	M_X	SC1_X
CH14-bin.1	CH14-bin.2	M_acald_e	0.003327134919516833	0.075526757214518	0.295	CD_X	SC1_X
CH9-bin.2	environment	M_ac_e	0.003323957049262152	0.056296366758668566	1.0	CM_X	SC1_X
