donor	receiver	compound	mass_rate	rate	frequency	community	medium
CH7-bin.8	CH7-bin.23	M_glc__D_e	0.028283245662421047	0.15699360475689902	0.05	CM_P	SC2_C
CH7-bin.11	CH7-bin.23	M_glc__D_e	0.027078606608818823	0.15030693839218157	0.14	CM_P	SC2_C
environment	CH7-bin.23	M_cellb_e	0.026892735572597765	0.07856582314408297	0.76	CM_P	SC2_C
CH7-bin.1	CH7-bin.23	M_glc__D_e	0.02556543671762616	0.14190769034747866	0.03	CM_P	SC2_C
CH7-bin.2	CH7-bin.23	M_glc__D_e	0.02472476076791244	0.13724129705749835	0.03	CM_P	SC2_C
environment	CH1-bin.6	M_cell4_e	0.01970291020964816	0.029558385254866905	0.65	M_P	SC2_C
CH8-bin.22	environment	M_ac_e	0.019423094282135265	0.3289602191273826	1.0	CM_A	SC2_C
environment	CH8-bin.22	M_cell4_e	0.01908982154777323	0.02863862717495563	1.0	CM_A	SC2_C
environment	CH1-bin.9	M_cell5_e	0.017754969843636278	0.02142466847352118	1.0	M_P	SC2_C
CH1-bin.4	CH1-bin.9	M_glc__D_e	0.016289480979914304	0.09041905477112705	0.01	M_P	SC2_C
environment	CH1-bin.6	M_cellb_e	0.015914833441091982	0.046494414304747066	0.59	M_P	SC2_C
CH1-bin.6	CH1-bin.9	M_glc__D_e	0.014553531903271683	0.08078321217832872	0.01	M_P	SC2_C
environment	CH8-bin.22	M_cell5_e	0.014411336572743468	0.017389953970663858	0.99	CM_A	SC2_C
CH1-bin.6	environment	M_lac__L_e	0.012129061950573956	0.13617479718798015	0.08	M_P	SC2_C
CH1-bin.9	CH1-bin.6	M_glyc_e	0.011915665290376864	0.12938660481333497	0.05	M_P	SC2_C
environment	CH7-bin.2	M_cellb_e	0.011189610541523747	0.032689904695017244	0.15	CM_P	SC2_C
environment	CH7-bin.11	M_cellb_e	0.010469639888462513	0.030586545338188723	0.74	CM_P	SC2_C
CH8-bin.22	environment	M_fald_e	0.009675960291339492	0.3222537972663432	1.0	CM_A	SC2_C
CH1-bin.9	environment	M_ac_e	0.009332405013588129	0.158058749736859	0.99	M_P	SC2_C
CH1-bin.6	CH1-bin.9	M_glyc_e	0.009176117311010423	0.09963914186137374	0.01	M_P	SC2_C
CH1-bin.9	CH1-bin.6	M_glyald_e	0.008975264728846265	0.09963914186137374	0.01	M_P	SC2_C
