donor	receiver	compound	mass_rate	rate	frequency	community	medium
environment	CH9-bin.0	M_xylb_e	0.06771708503777779	0.23992408349723823	1.0	CM_X	SC1_X
environment	CH9-bin.6	M_xylan4_e	0.0652800813744361	0.09046721153105736	1.0	CM_X	SC1_X
CH9-bin.0	environment	M_ac_e	0.06032798415243059	1.0217479562229221	1.0	CM_X	SC1_X
environment	CH3-bin.2	M_xylan4_e	0.052582888622420436	0.0728710382671399	0.998	M_X	SC1_X
CH9-bin.6	CH9-bin.0	M_xyl__D_e	0.04885668046841056	0.3254302483416687	1.0	CM_X	SC1_X
environment	CH14-bin.1	M_xylan4_e	0.043758570534827415	0.06064201780271024	1.0	CD_X	SC1_X
CH3-bin.1	CH3-bin.2	M_xyl__D_e	0.03128690622966585	0.20839945666684995	0.004	M_X	SC1_X
CH3-bin.2	environment	M_ac_e	0.022684095625989473	0.38419033339582037	0.996	M_X	SC1_X
CH9-bin.0	environment	M_12ppd__R_e	0.02267462555928715	0.2979813882980041	0.998	CM_X	SC1_X
CH3-bin.2	environment	M_co2_e	0.017356337710079467	0.39437707108872994	1.0	M_X	SC1_X
CH14-bin.1	environment	M_ac_e	0.015624092412731506	0.2646182317348872	0.997	CD_X	SC1_X
CH9-bin.0	CH9-bin.6	M_rib__D_e	0.014701928890067658	0.09792831448894225	0.999	CM_X	SC1_X
environment	CH3-bin.2	M_xylan8_e	0.01406859016018807	0.009871576763297177	0.068	M_X	SC1_X
CH9-bin.0	environment	M_co2_e	0.01401832436241072	0.3185295075474777	0.999	CM_X	SC1_X
CH3-bin.2	environment	M_xyl__D_e	0.012850519587160518	0.08559623250034483	0.139	M_X	SC1_X
CH14-bin.1	environment	M_co2_e	0.012692190164539464	0.2883965999281851	1.0	CD_X	SC1_X
CH3-bin.2	CH3-bin.1	M_xyl__D_e	0.011390296177471138	0.07586980691650298	0.818	M_X	SC1_X
CH9-bin.6	environment	M_ac_e	0.01084454355773651	0.18366916070477238	1.0	CM_X	SC1_X
CH3-bin.1	environment	M_ac_e	0.010241668978755123	0.17345854489210782	0.998	M_X	SC1_X
environment	CH3-bin.1	M_xylan4_e	0.010089998450245873	0.013983040537444792	0.485	M_X	SC1_X
CH14-bin.1	environment	M_xyl__D_e	0.009938504778718871	0.06619954624986342	0.258	CD_X	SC1_X
environment	CH14-bin.1	M_xylan8_e	0.009020122002075758	0.006329193312473774	0.03	CD_X	SC1_X
environment	CH14-bin.2	M_xylan4_e	0.008713852325593147	0.012075933500575254	0.927	CD_X	SC1_X
CH9-bin.6	environment	M_co2_e	0.006963781703286086	0.1582336019106349	1.0	CM_X	SC1_X
CH3-bin.1	environment	M_xyl__D_e	0.00635249225986235	0.042313417815035344	0.004	M_X	SC1_X
CH3-bin.2	environment	M_etoh_e	0.005873149622324199	0.12748815066193597	0.15	M_X	SC1_X
CH14-bin.1	environment	M_etoh_e	0.005445118397405245	0.11819689932329125	0.219	CD_X	SC1_X
CH14-bin.2	environment	M_ac_e	0.005354613931597946	0.09068868979857268	0.997	CD_X	SC1_X
CH3-bin.2	environment	M_acald_e	0.004896189454808061	0.11114466986606995	0.016	M_X	SC1_X
CH9-bin.1	environment	M_ac_e	0.00481646942680723	0.08157437816281154	1.0	CM_X	SC1_X
CH14-bin.1	CH14-bin.0	M_glyald_e	0.004556154015327906	0.050580265874105426	0.436	CD_X	SC1_X
CH14-bin.2	CH14-bin.1	M_xyl__D_e	0.004499553537528041	0.029971148491988855	0.066	CD_X	SC1_X
CH9-bin.6	CH9-bin.0	M_acald_e	0.004455284596634962	0.10113602429458923	0.931	CM_X	SC1_X
environment	CH3-bin.1	M_xylan8_e	0.004452946556571145	0.003124520883438988	0.023	M_X	SC1_X
CH3-bin.2	environment	M_for_e	0.004412918098824433	0.09802694288929241	0.031	M_X	SC1_X
CH9-bin.0	CH9-bin.2	M_diact_e	0.004412368114118202	0.0512535644985794	0.948	CM_X	SC1_X
CH14-bin.1	CH14-bin.0	M_xyl__D_e	0.004410365426645205	0.02937707397044022	0.793	CD_X	SC1_X
CH9-bin.4	CH9-bin.2	M_glyald_e	0.004133239449491921	0.04588526849033579	0.741	CM_X	SC1_X
CH3-bin.2	environment	M_pta_e	0.0041014560607858085	0.040558921681686025	0.071	M_X	SC1_X
CH14-bin.1	CH14-bin.2	M_acald_e	0.00402864633022568	0.09145123376310213	0.256	CD_X	SC1_X
CH14-bin.2	environment	M_acald_e	0.003978696040385926	0.0903173502552852	0.007	CD_X	SC1_X
CH9-bin.6	CH9-bin.1	M_xyl__D_e	0.0037821081862788176	0.0251923052183536	0.735	CM_X	SC1_X
CH14-bin.2	environment	M_xyl__D_e	0.0037786927054632956	0.02516955498728295	0.105	CD_X	SC1_X
CH14-bin.1	CH14-bin.2	M_xyl__D_e	0.003628637591890431	0.024170050469031274	0.365	CD_X	SC1_X
CH3-bin.1	CH3-bin.2	M_xylan4_e	0.003622649277239441	0.005020382505147937	0.017	M_X	SC1_X
CH14-bin.2	CH14-bin.0	M_xyl__D_e	0.0035135005519617317	0.02340313230885157	0.291	CD_X	SC1_X
CH9-bin.2	environment	M_ac_e	0.0033184091618047294	0.05620240468202015	1.0	CM_X	SC1_X
CH14-bin.0	environment	M_ac_e	0.0032762917585875996	0.05548908115127219	0.997	CD_X	SC1_X
environment	CH9-bin.1	M_xylan4_e	0.0032357809258951585	0.004484248048222454	0.409	CM_X	SC1_X
CH9-bin.6	CH9-bin.2	M_mal__L_e	0.0031364827301995205	0.02374838708607254	1.0	CM_X	SC1_X
CH14-bin.1	CH14-bin.0	M_orn_e	0.003055920685689915	0.022947791560835117	0.001	CD_X	SC1_X
CH14-bin.2	CH14-bin.1	M_acald_e	0.002985476098521567	0.06777102038757404	0.066	CD_X	SC1_X
CH9-bin.2	environment	M_succ_e	0.002903686360887172	0.02501625164455831	0.999	CM_X	SC1_X
CH9-bin.2	CH9-bin.4	M_glyc_e	0.0029000400353597086	0.031490170699991944	0.443	CM_X	SC1_X
CH14-bin.2	environment	M_co_e	0.002812998330706239	0.10042800028226385	0.898	CD_X	SC1_X
CH14-bin.0	environment	M_co2_e	0.002739219102517861	0.06224154108812554	1.0	CD_X	SC1_X
CH9-bin.2	CH9-bin.0	M_acald_e	0.0025573577754889015	0.058052632217288985	0.729	CM_X	SC1_X
CH9-bin.6	CH9-bin.4	M_acald_e	0.0024976093282325037	0.056696328196250464	0.924	CM_X	SC1_X
CH9-bin.0	CH9-bin.4	M_glyc_e	0.002442003750375913	0.026516570120322422	0.756	CM_X	SC1_X
CH9-bin.4	environment	M_etoh_e	0.002416104170848237	0.052446246453046505	0.975	CM_X	SC1_X
CH14-bin.1	environment	M_for_e	0.0023495904881867414	0.0521929406893055	0.036	CD_X	SC1_X
CH9-bin.0	CH9-bin.2	M_glyc_e	0.002284621923091114	0.02480763488293	0.318	CM_X	SC1_X
CH3-bin.2	CH3-bin.1	M_asp__D_e	0.002213190881417889	0.01675460281403002	1.0	M_X	SC1_X
CH3-bin.2	environment	M_ibt_e	0.002201367522318439	0.02527492393321047	0.006	M_X	SC1_X
CH9-bin.1	CH9-bin.0	M_xyl__D_e	0.0021921694314625253	0.014601856606879559	0.039	CM_X	SC1_X
CH9-bin.2	CH9-bin.0	M_cys__L_e	0.002191688702561229	0.0180895236923158	0.003	CM_X	SC1_X
CH3-bin.1	CH3-bin.2	M_lac__L_e	0.0021599079426274045	0.02424961033512374	0.819	M_X	SC1_X
CH14-bin.0	CH14-bin.1	M_ptrc_e	0.0020691289321075074	0.022947791560835117	0.001	CD_X	SC1_X
CH3-bin.2	environment	M_but_e	0.001998067211230904	0.022940738547880625	0.001	M_X	SC1_X
CH3-bin.1	CH3-bin.2	M_acald_e	0.0018736246982050838	0.04253172808303484	0.279	M_X	SC1_X
CH9-bin.5	environment	M_ac_e	0.0018441438217552356	0.031233435151730077	0.998	CM_X	SC1_X
CH14-bin.1	CH14-bin.0	M_glyc_e	0.00182507195276806	0.01981759790612866	0.326	CD_X	SC1_X
CH3-bin.1	environment	M_co2_e	0.0016188022134648082	0.0367830176090346	1.0	M_X	SC1_X
CH14-bin.1	CH14-bin.2	M_co2_e	0.0016148827911693457	0.03669395905814302	0.706	CD_X	SC1_X
CH14-bin.2	environment	M_12ppd__R_e	0.0016003060344472984	0.021030619120895034	0.103	CD_X	SC1_X
CH3-bin.1	environment	M_but_e	0.0015975034724867944	0.018341680042421656	0.023	M_X	SC1_X
CH3-bin.1	environment	M_acald_e	0.0015270091594786418	0.0346634725798967	0.038	M_X	SC1_X
CH9-bin.2	CH9-bin.0	M_urea_e	0.0015066559627448309	0.025087893663399627	1.0	CM_X	SC1_X
CH9-bin.6	CH9-bin.1	M_acald_e	0.0014444618974374195	0.03278963001873722	0.709	CM_X	SC1_X
CH9-bin.4	environment	M_ac_e	0.0014397167515391314	0.02438383561280897	0.989	CM_X	SC1_X
CH9-bin.0	CH9-bin.4	M_acald_e	0.0014144001131807327	0.032107220337160576	0.055	CM_X	SC1_X
