donor	receiver	compound	mass_rate	rate	frequency	community	medium
environment	CH9-bin.0	M_xylb_e	0.067738512	0.24000000000000005	1.0	CM_X	SC1_X
environment	CH9-bin.6	M_xylan4_e	0.06501259497230705	0.09009652037360785	1.0	CM_X	SC1_X
CH9-bin.0	environment	M_ac_e	0.05874321316763773	0.994907402248797	1.0	CM_X	SC1_X
environment	CH3-bin.2	M_xylan4_e	0.0512621331551682	0.071040693363748	1.0	M_X	SC1_X
CH9-bin.6	CH9-bin.0	M_xyl__D_e	0.04891789133777977	0.32583796880546306	1.0	CM_X	SC1_X
environment	CH14-bin.1	M_xylan4_e	0.04522543252243647	0.06267484176563902	1.0	CD_X	SC1_X
CH3-bin.2	environment	M_ac_e	0.02291484456353102	0.388098424452501	1.0	M_X	SC1_X
CH9-bin.0	environment	M_12ppd__R_e	0.02183136791728735	0.2868996139948742	1.0	CM_X	SC1_X
CH14-bin.1	environment	M_ac_e	0.01670900344998803	0.28299288241440745	1.0	CD_X	SC1_X
CH3-bin.2	environment	M_co2_e	0.01631412723993405	0.3706955825431793	1.0	M_X	SC1_X
CH9-bin.0	environment	M_co2_e	0.014915431634689549	0.3389139080128051	1.0	CM_X	SC1_X
CH9-bin.0	CH9-bin.6	M_rib__D_e	0.014345869964903914	0.09555663587039134	1.0	CM_X	SC1_X
CH3-bin.2	CH3-bin.1	M_xyl__D_e	0.013935234042135982	0.09282142445113041	0.7	M_X	SC1_X
CH14-bin.1	environment	M_co2_e	0.013548445382813506	0.30785274503944615	1.0	CD_X	SC1_X
CH14-bin.1	environment	M_xyl__D_e	0.012914293382912334	0.0860210244016821	0.1	CD_X	SC1_X
environment	CH14-bin.2	M_xylan4_e	0.011901893666503523	0.01649402251464377	0.9	CD_X	SC1_X
CH3-bin.1	environment	M_ac_e	0.01087230149333652	0.184139284385627	1.0	M_X	SC1_X
CH9-bin.6	environment	M_ac_e	0.010778457947409854	0.182549898421511	1.0	CM_X	SC1_X
environment	CH3-bin.1	M_xylan4_e	0.010625137281719179	0.014724652938135468	0.5	M_X	SC1_X
