gnl|TC-DB|F8SVK1|2.A.1.6.11	gene1098	33.846	65	35	4	6	65	114	175	0.19	30.0
gnl|TC-DB|F8SVK1|2.A.1.6.11	gene1406	27.027	111	63	4	273	368	38	145	1.6	27.7
gnl|TC-DB|F8SVK1|2.A.1.6.11	gene26	28.358	67	43	3	287	348	18	84	2.5	26.9
gnl|TC-DB|F8SVK1|2.A.1.6.11	gene5	28.169	71	47	2	350	420	157	223	3.8	26.2
gnl|TC-DB|O15375|2.A.1.13.11	gene345	27.027	111	62	4	334	437	327	425	0.45	29.3
gnl|TC-DB|O15375|2.A.1.13.11	gene330	34.483	29	19	0	205	233	225	253	3.7	26.6
gnl|TC-DB|O15375|2.A.1.13.11	gene660	22.727	88	59	2	29	116	219	297	4.1	26.2
gnl|TC-DB|O15375|2.A.1.13.11	gene725	31.507	73	44	3	314	383	117	186	4.6	26.2
gnl|TC-DB|O15375|2.A.1.13.11	gene615	32.432	37	25	0	150	186	149	185	5.8	25.8
gnl|TC-DB|O15375|2.A.1.13.11	gene2580	30.000	70	40	1	102	162	347	416	6.4	25.4
gnl|TC-DB|O15375|2.A.1.13.11	gene1525	20.468	171	98	7	248	393	169	326	6.9	25.4
gnl|TC-DB|O15375|2.A.1.13.11	gene366	52.632	19	9	0	173	191	152	170	8.2	25.0
gnl|TC-DB|O15375|2.A.1.13.11	gene2140	29.348	92	58	3	316	404	41	128	9.5	24.6
gnl|TC-DB|O15403|2.A.1.13.15	gene313	25.592	211	135	8	277	471	216	420	0.39	29.6
gnl|TC-DB|O15403|2.A.1.13.15	gene497	36.364	77	36	3	72	140	3	74	0.71	28.9
gnl|TC-DB|O15403|2.A.1.13.15	gene323	35.849	53	30	2	423	471	229	281	1.1	28.1
gnl|TC-DB|O15403|2.A.1.13.15	gene74	33.333	42	28	0	108	149	123	164	2.3	27.3
gnl|TC-DB|O15403|2.A.1.13.15	gene1042	23.469	98	66	3	270	365	3	93	3.7	26.2
gnl|TC-DB|O15403|2.A.1.13.15	gene1941	35.897	39	24	1	269	307	169	206	3.9	26.2
gnl|TC-DB|O15403|2.A.1.13.15	gene2186	29.365	126	73	7	44	164	98	212	4.5	26.2
gnl|TC-DB|O15403|2.A.1.13.15	gene1494	28.814	59	41	1	276	334	483	540	6.6	25.8
gnl|TC-DB|O15403|2.A.1.13.15	gene2224	26.190	84	44	4	275	351	134	206	6.9	25.4
gnl|TC-DB|O15403|2.A.1.13.15	gene544	37.778	45	22	2	308	346	403	447	7.4	25.4
gnl|TC-DB|O15403|2.A.1.13.15	gene1422	28.261	46	32	1	193	237	6	51	7.5	25.4
